Person1,Person2,similarity,r.class
191016180374,191523300491,0.2727272727272727,1
191016220375,191523350492,0.42857142857142855,1
191016610382,191523600497,0.2222222222222222,1
191016630383,191536220774,0.4,1
191016630383,191537790817,0.2727272727272727,0
191016650384,191523650499,0.42857142857142855,1
191016760387,191515150324,0.25,1
191016770387,191515160324,0.25,1
191016910390,191539900866,0.3333333333333333,0
191016980391,191523900505,0.42857142857142855,1
191017040392,191515230326,0.3,0
191017140394,191524020507,0.5714285714285714,1
191017150394,191524040507,0.3333333333333333,1
191017160394,191524030507,0.5,1
191017310399,191522360469,0.5714285714285714,1
191017430401,191524260512,0.23076923076923078,0
191017430401,191524250512,0.23076923076923078,1
191017440401,191524260512,0.3333333333333333,1
191017440401,191524250512,0.14285714285714285,0
191017540404,191524340515,0.3333333333333333,1
191017570405,191524400517,0.42857142857142855,1
191017620406,191524370516,0.23529411764705882,1
191017700408,191524500519,0.5714285714285714,1
191017940415,191524770524,0.15384615384615385,0
191017940415,191524760524,0.15384615384615385,1
191017950415,191524770524,0.2727272727272727,1
191017950415,191524780524,0.16666666666666666,0
191017950415,191524760524,0.16666666666666666,0
191017970416,191517410358,0.375,1
191018070418,191524880527,0.14285714285714285,1
191018110419,191524920528,0.2727272727272727,1
191018190421,191502260049,0.2,1
191018250422,191502270050,0.6666666666666666,1
191018260422,191502280050,0.12,1
191018270422,191502290050,0.25,1
191018270422,191502310050,0.17647058823529413,0
191018280422,191502300050,0.17647058823529413,1
191018290422,191502310050,0.17647058823529413,1
191018300422,191502320050,0.1875,1
191018300422,191502310050,0.11764705882352941,0
191018300422,191502300050,0.11764705882352941,0
191018300422,191502290050,0.11764705882352941,0
191018400425,191502480054,0.13333333333333333,1
191018420426,191502500055,0.6666666666666666,1
191018550427,191535230752,0.3,0
191018560428,191502670057,0.4,1
191018580428,191502680057,0.3333333333333333,1
191018600428,191502630057,0.23076923076923078,1
191018730430,191525430539,0.21428571428571427,1
191018820432,191502920061,0.21052631578947367,1
191018880434,191503080065,0.14285714285714285,1
191018890434,191503090065,0.42857142857142855,1
191018900434,191503100065,0.36363636363636365,1
191018920435,191503540076,0.15384615384615385,0
191018920435,191503100065,0.15384615384615385,0
191018920435,191503030064,0.15384615384615385,0
191018980437,191503120066,0.42857142857142855,1
191019090440,191503210068,0.21428571428571427,1
191019180444,191503390073,0.25,1
191019260446,191503440074,0.3333333333333333,1
191019320447,191514590313,0.2,1
191019520452,191501000023,0.3333333333333333,1
191019560453,191514770317,0.5,1
191019750458,191501290029,0.25,1
191019770458,191501280029,0.25,1
191019860460,191501380031,0.25,0
191019860460,191501370031,0.25,1
191019870460,191501380031,0.36363636363636365,1
191019890461,191501400032,0.16,1
191019940462,191501470033,0.23529411764705882,1
191019950462,191501480033,0.23529411764705882,1
191019970463,191501500034,0.5714285714285714,1
191020010464,191501530034,0.2222222222222222,0
191020070467,191501580036,0.2222222222222222,1
191020080467,191501590036,0.2857142857142857,1
191020440474,191501930042,0.3076923076923077,1
191020510475,191502050043,0.13793103448275862,1
191020570476,191502150046,0.6666666666666666,1
191020590477,191502170047,0.42857142857142855,1
191020600477,191502180047,0.6666666666666666,1
191020650478,191503960079,0.36363636363636365,1
191020710479,191541920906,0.375,0
191020740480,191504460081,0.2727272727272727,1
191020810481,191502140045,0.15789473684210525,1
191020850482,191504570083,0.21052631578947367,1
191020980485,191529040618,0.2727272727272727,1
191020990485,191505330102,0.2727272727272727,0
191020990485,191505320102,0.2727272727272727,1
191021000485,191505330102,0.4,1
191021000485,191505320102,0.2727272727272727,0
191021060489,191504800090,0.25,1
191021080489,191504820090,0.3333333333333333,1
191021140491,191504900092,0.375,1
191021210493,191504970094,0.2,1
191021220493,191537400808,0.26666666666666666,1
191021310495,191504890091,0.2727272727272727,0
191021310495,191504880091,0.2727272727272727,0
191021310495,191504860091,0.2727272727272727,1
191021310495,191504870091,0.16666666666666666,0
191021320495,191504890091,0.2727272727272727,0
191021320495,191504880091,0.2727272727272727,0
191021320495,191504870091,0.2727272727272727,1
191021570500,191505170100,0.375,1
191021740503,191505360103,0.2727272727272727,1
191021750504,191505390104,0.2,1
191021770504,191505380104,0.2857142857142857,1
191021780505,191505420105,0.6666666666666666,1
191021920509,191505550109,0.17391304347826086,1
191022030512,191537030800,0.21428571428571427,1
191022130514,191505790115,0.3333333333333333,0
191022390521,191506110122,0.5714285714285714,1
191022410521,191506130122,0.15789473684210525,1
191022500523,191506210125,0.2,1
191022530524,191506260126,0.5,1
191022540524,191506270126,0.5,1
191022630526,191506350128,0.5,1
191022750528,191506460130,0.4,1
191022760528,191506470130,0.4,1
191022760528,191506460130,0.2727272727272727,0
191022770528,191506450130,0.4,1
191022840531,191505620111,0.21052631578947367,1
