src,relation,Target,is_b,id(is_b)
188902110041,VIU,SFLL188941,IS_BUILDING,129257
188902100041,VIU,SFLL188941,IS_BUILDING,129257
188902180042,VIU,SFLL188942,IS_BUILDING,129021
188902170042,VIU,SFLL188942,IS_BUILDING,129021
188902160042,VIU,SFLL188942,IS_BUILDING,129021
188902150042,VIU,SFLL188942,IS_BUILDING,129021
188902140042,VIU,SFLL188942,IS_BUILDING,129021
188902130042,VIU,SFLL188942,IS_BUILDING,129021
188902220043,VIU,SFLL188943,IS_BUILDING,129022
188902210043,VIU,SFLL188943,IS_BUILDING,129022
188902200043,VIU,SFLL188943,IS_BUILDING,129022
188902190043,VIU,SFLL188943,IS_BUILDING,129022
188902250044,VIU,SFLL188944,IS_BUILDING,129258
188902240044,VIU,SFLL188944,IS_BUILDING,129258
188902230044,VIU,SFLL188944,IS_BUILDING,129258
188902280045,VIU,SFLL188945,IS_BUILDING,129024
188902270045,VIU,SFLL188945,IS_BUILDING,129024
188902260045,VIU,SFLL188945,IS_BUILDING,129024
188902440046,VIU,SFLL188946,IS_BUILDING,129259
188902430046,VIU,SFLL188946,IS_BUILDING,129259
188902420046,VIU,SFLL188946,IS_BUILDING,129259
188902410046,VIU,SFLL188946,IS_BUILDING,129259
188902400046,VIU,SFLL188946,IS_BUILDING,129259
188902390046,VIU,SFLL188946,IS_BUILDING,129259
188902380046,VIU,SFLL188946,IS_BUILDING,129259
188902370046,VIU,SFLL188946,IS_BUILDING,129259
188902360046,VIU,SFLL188946,IS_BUILDING,129259
188902350046,VIU,SFLL188946,IS_BUILDING,129259
188902340046,VIU,SFLL188946,IS_BUILDING,129259
188902330046,VIU,SFLL188946,IS_BUILDING,129259
188902320046,VIU,SFLL188946,IS_BUILDING,129259
188902310046,VIU,SFLL188946,IS_BUILDING,129259
188902300046,VIU,SFLL188946,IS_BUILDING,129259
188902290046,VIU,SFLL188946,IS_BUILDING,129259
188902490047,VIU,SFLL188947,IS_BUILDING,128641
188902480047,VIU,SFLL188947,IS_BUILDING,128641
188902470047,VIU,SFLL188947,IS_BUILDING,128641
188902460047,VIU,SFLL188947,IS_BUILDING,128641
188902450047,VIU,SFLL188947,IS_BUILDING,128641
188902520048,VIU,SFLL188948,IS_BUILDING,128643
188902510048,VIU,SFLL188948,IS_BUILDING,128643
188902500048,VIU,SFLL188948,IS_BUILDING,128643
188902530049,VIU,SFLL188949,IS_BUILDING,128645
188902570050,VIU,SFLL188950,IS_BUILDING,129260
188902560050,VIU,SFLL188950,IS_BUILDING,129260
188902550050,VIU,SFLL188950,IS_BUILDING,129260
188902540050,VIU,SFLL188950,IS_BUILDING,129260
188902610051,VIU,SFLL188951,IS_BUILDING,129261
188902600051,VIU,SFLL188951,IS_BUILDING,129261
188902590051,VIU,SFLL188951,IS_BUILDING,129261
188902580051,VIU,SFLL188951,IS_BUILDING,129261
188902650052,VIU,SFLL188952,IS_BUILDING,129262
188902640052,VIU,SFLL188952,IS_BUILDING,129262
188902630052,VIU,SFLL188952,IS_BUILDING,129262
188902620052,VIU,SFLL188952,IS_BUILDING,129262
188902690053,VIU,SFLL188953,IS_BUILDING,129029
188902680053,VIU,SFLL188953,IS_BUILDING,129029
